3,0.586983/0.013430,0.597918/0.012938,0.570756/0.014021,0.576838/0.014560,0.578626/0.014700,0.654896/0.017552,0.581980/0.014723,0.561963/0.017356,
3,0.586981/0.013432,0.597915/0.012941,0.570754/0.014022,0.576839/0.014559,0.578626/0.014700,0.654779/0.017669,0.581988/0.014715,0.561938/0.017381,
26,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,
26,0.000000/0.008423,0.598298/0.009279,0.571166/0.009487,0.575042/0.009104,0.576383/0.008883,0.651936/0.011807,0.584457/0.011010,0.561154/0.010699,
26,0.586285/0.008425,0.598293/0.009370,0.571162/0.009487,0.575038/0.009107,0.576385/0.008885,0.651930/0.011815,0.584449/0.011016,0.561152/0.010707,
26,0.586287/0.008423,0.598267/0.009396,0.571160/0.009489,0.575036/0.009109,0.576398/0.008873,0.651915/0.011829,0.585105/0.010361,0.561151/0.010708,
26,0.586287/0.008423,0.598267/0.009396,0.571160/0.009489,0.575036/0.009109,0.576398/0.008873,0.651915/0.011829,0.585105/0.010361,0.561151/0.010708,
26,0.586287/0.008423,0.598267/0.009396,0.571160/0.009489,0.575036/0.009109,0.576398/0.008873,0.651915/0.011829,0.585105/0.010361,0.561151/0.010708,
26,0.586287/0.008423,0.598267/0.009396,0.571160/0.009489,0.575036/0.009109,0.576398/0.008873,0.651915/0.011829,0.585105/0.010361,0.561151/0.010708,
26,0.586287/0.008423,0.598267/0.009396,0.571160/0.009489,0.575036/0.009109,0.576398/0.008873,0.651915/0.011829,0.585105/0.010361,0.561151/0.010708,
26,0.586287/0.008423,0.598267/0.009396,0.571160/0.009489,0.575036/0.009109,0.576398/0.008873,0.651915/0.011829,0.585105/0.010361,0.561151/0.010708,
26,0.586287/0.008423,0.598267/0.009396,0.571160/0.009489,0.575036/0.009109,0.576398/0.008873,0.651915/0.011829,0.585105/0.010361,0.561151/0.010708,
0,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,
99,0.000000/0.008423,0.598267/0.009396,0.571160/0.009489,0.575036/0.009109,0.576398/0.008873,0.651915/0.011829,0.585105/0.010361,0.561151/0.010708,
0,0.586910/0.010952,0.736289/0.126991,0.756259/0.168379,0.571068/0.020853,0.824989/0.225247,0.815201/0.140949,0.947107/0.346961,0.451377/0.128258,
99,0.586287/0.008423,0.598267/0.009396,0.571160/0.009489,0.575036/0.009109,0.576398/0.008873,0.651915/0.011829,0.585105/0.010361,0.561151/0.010708,
0,0.584810/0.012049,0.744482/0.135219,0.580270/0.002253,0.580897/0.008770,0.564675/0.025950,0.817961/0.149036,0.731434/0.133858,0.576107/0.000773,
99,0.586287/0.008423,0.598267/0.009396,0.571160/0.009489,0.575036/0.009109,0.576398/0.008873,0.651915/0.011829,0.585105/0.010361,0.561151/0.010708,
0,0.585596/0.011264,0.597221/0.012044,0.569682/0.012835,0.575787/0.013879,0.577531/0.013095,0.652809/0.016118,0.583179/0.014398,0.560909/0.014450,
99,0.586287/0.008423,0.598267/0.009396,0.571160/0.009489,0.575036/0.009109,0.576398/0.008873,0.651915/0.011829,0.585105/0.010361,0.561151/0.010708,
10,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,
99,0.000000/0.008423,0.598267/0.009396,0.571160/0.009489,0.575036/0.009109,0.576398/0.008873,0.651915/0.011829,0.585105/0.010361,0.561151/0.010708,
10,0.586729/0.011539,0.597573/0.012463,0.570047/0.012992,0.574806/0.013739,0.578416/0.013415,0.653964/0.016564,0.583691/0.014692,0.561239/0.014772,
99,0.586287/0.008423,0.598267/0.009396,0.571160/0.009489,0.575036/0.009109,0.576398/0.008873,0.651915/0.011829,0.585105/0.010361,0.561151/0.010708,
200,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,0.000000/0.000000,
99,0.000000/0.008423,0.598267/0.009396,0.571160/0.009489,0.575036/0.009109,0.576398/0.008873,0.651915/0.011829,0.585105/0.010361,0.561151/0.010708,
200,0.560941/0.021457,0.588060/0.004925,0.543644/0.026287,0.556615/0.022232,0.999215/0.412274,0.665952/0.009733,0.589350/0.013907,0.561342/0.017499,
99,0.586287/0.008423,0.598267/0.009396,0.571160/0.009489,0.575036/0.009109,0.576398/0.008873,0.651915/0.011829,0.585105/0.010361,0.561151/0.010708,
200,0.579517/0.015056,0.584596/0.019201,0.561529/0.020435,0.576313/0.018180,0.579047/0.018098,0.665635/0.024787,0.598550/0.017559,0.575071/0.016263,
99,0.586287/0.008423,0.598267/0.009396,0.571160/0.009489,0.575036/0.009109,0.576398/0.008873,0.651915/0.011829,0.585105/0.010361,0.561151/0.010708,
